POST	api/v1/send-otp-code		Marvel\Http\Controllers\UserController@sendUserOtp	api,throttle:otp
POST	api/v1/otp-login		Marvel\Http\Controllers\UserController@otpLogin	api,throttle:otp
POST	api/v1/change-password		Marvel\Http\Controllers\UserController@changePassword	api,auth:sanctum
POST	api/v1/update-contact		Marvel\Http\Controllers\UserController@updateContact	api,auth:sanctum
GET	api/v1/address	address.index	Marvel\Http\Controllers\AddressController@index	api,auth:sanctum
POST	api/v1/address	address.store	Marvel\Http\Controllers\AddressController@store	api,auth:sanctum
GET	api/v1/address/{address}	address.show	Marvel\Http\Controllers\AddressController@show	api,auth:sanctum
PUT|PATCH	api/v1/address/{address}	address.update	Marvel\Http\Controllers\AddressController@update	api,auth:sanctum
DELETE	api/v1/address/{address}	address.destroy	Marvel\Http\Controllers\AddressController@destroy	api,auth:sanctum
POST	api/v1/contacts/{id}/reply		Marvel\Http\Controllers\ContactController@sendReply	api,throttle:sensitive,permission:update-contact
POST	api/v1/contact-us		Marvel\Http\Controllers\ContactController@store	api,throttle:sensitive
DELETE	api/v1/contacts/delete-all		Marvel\Http\Controllers\ContactController@deleteAll	api,throttle:sensitive,permission:delete-contact
DELETE	api/v1/contacts/delete-all-read		Marvel\Http\Controllers\ContactController@deleteAllReadContacts	api,throttle:sensitive,permission:delete-read-contacts
GET	api/v1/contacts	contacts.index	Marvel\Http\Controllers\ContactController@index	api,throttle:sensitive,permission:view-contacts
POST	api/v1/contacts	contacts.store	Marvel\Http\Controllers\ContactController@store	api,throttle:sensitive
GET	api/v1/contacts/{contact}	contacts.show	Marvel\Http\Controllers\ContactController@show	api,throttle:sensitive,permission:update-contact
DELETE	api/v1/contacts/{contact}	contacts.destroy	Marvel\Http\Controllers\ContactController@destroy	api,throttle:sensitive,permission:delete-contact
GET	api/v1/settings		Marvel\Http\Controllers\SettingsController@index	api,auth:sanctum,throttle:admin,permission:view-settings
PUT	api/v1/settings		Marvel\Http\Controllers\SettingsController@update	api,auth:sanctum,throttle:admin,permission:update-settings
GET	api/v1/fast-shipping/settings		Marvel\Http\Controllers\FastShippingController@getSettings	api,auth:sanctum,throttle:admin,permission:view-fast-shipping
PUT	api/v1/fast-shipping/settings		Marvel\Http\Controllers\FastShippingController@updateSettings	api,auth:sanctum,throttle:admin,permission:update-fast-shipping
POST	api/v1/admin-users/add		Marvel\Http\Controllers\UserController@adminAddUsers	api,auth:sanctum,throttle:admin,permission:create-user
PUT	api/v1/admin-users/update-activation		Marvel\Http\Controllers\UserController@adminUpdateActivationUsers	api,auth:sanctum,throttle:admin,permission:edit-user
DELETE	api/v1/admin-users/delete/{id}		Marvel\Http\Controllers\UserController@adminDeleteUsers	api,auth:sanctum,throttle:admin,permission:delete-user
PUT	api/v1/admin-users/restore/{id}		Marvel\Http\Controllers\UserController@adminRestoreUser	api,auth:sanctum,throttle:admin,permission:restore-user
GET	api/v1/admin-users/trashed		Marvel\Http\Controllers\UserController@adminTrashedUsers	api,auth:sanctum,throttle:admin,permission:view-users
